"id","station_code","station_location","created_at","updated_at","deleted_at"
260,FGG,"Flagstaff - Greyhound Bus Station, AZ",,,
261,FLG,"Flagstaff, AZ",,,
262,FLN,"Flint, MI",,,
263,FRO,"Florence, OR",,,
264,FLO,"Florence, SC",,,
265,FDL,"Fond Du Lac, WI",,,
266,FCC,"Fort Collins - Bus Stop, CO",,,
267,FED,"Fort Edward-Glens Falls, NY",,,
268,FHD,"Fort Hood, TX",,,
269,FTL,"Fort Lauderdale, FL",,,
270,FMD,"Fort Madison, IA",,,
271,FMG,"Fort Morgan, CO",,,
272,FTM,"Fort Myers, FL",,,
273,FTW,"Fort Worth, TX",,,
274,FTA,"Fortuna, CA",,,
275,FOX,"Foxwoods Casino, CT",,,
276,FRA,"Framingham, MA",,,
277,WIP,"Fraser, CO",,,
278,FRC,"Frederick, MD",,,
279,FRR,"Frederick - Airport Bus Stop, MD",,,
280,FBG,"Fredericksburg, VA",,,
281,FDN,"Fredonia, NY",,,
282,FRE,"Freeport, ME",,,
283,FMT,"Fremont, CA",,,
284,FRT,"Fremont - Bus Station, CA",,,
285,FNO,"Fresno, CA",,,
286,FSC,"Frisco, CO",,,
287,FSB,"Frostburg - Frostburg St. Univ. Bus Stop, MD",,,
288,FUL,"Fullerton, CA",,,
289,FTN,"Fulton, KY",,,
290,FED,"Glens Falls, NY",,,
291,GNF,"Gainesville - Bus Stop, FL",,,
292,GNS,"Gainesville, GA",,,
293,GLE,"Gainesville, TX",,,
294,GBB,"Galesburg, IL",,,
295,GLP,"Gallup, NM",,,
296,GLS,"Galveston, TX",,,
297,GBV,"Garberville, CA",,,
298,GCK,"Garden City, KS",,,
299,GBC,"Garibaldi Highlands, BC",,,
300,GAS,"Gastonia, NC",,,
301,GHT,"Gearhart, OR",,,
302,GLM,"Gilman, IL",,,
303,GLY,"Gilroy, CA",,,
304,GGW,"Glasgow, MT",,,
305,GDL,"Glendale, CA",,,
306,GLD,"Glendive - Bus Stop, MT",,,
307,GLN,"Glenview, IL",,,
308,GSC,"Glenwood Springs, CO",,,
309,GHL,"Gold Hill - Bus Stop, OR",,,
310,GDN,"Golden - Bus Stop, BC",,,
311,GBO,"Goldsboro - Bus Stop, NC",,,
312,GTA,"Goleta, CA",,,
313,GSN,"Goshen Junction, CA",,,
314,GRA,"Granby, CO",,,
315,GCB,"Grand Canyon Natl Park - Bus Stop, AZ",,,
316,GCN,"Grand Canyon Natl Park, AZ",,,
317,GFK,"Grand Forks, ND",,,
318,GJT,"Grand Junction, CO",,,
319,GRR,"Grand Rapids, MI",,,
320,GVI,"Grangeville, ID",,,
321,GTP,"Grants Pass - Bus Stop, OR",,,
322,GTV,"Grantsville - Bus Stop, MD",,,
323,KNT,"Grasonville - Kent Island Bus Stop, MD",,,
324,GBY,"Green Bay - Bus Stop, WI",,,
325,GRI,"Green River, UT",,,
326,GFD,"Greenfield, MA",,,
327,GRO,"Greensboro, NC",,,
328,GNB,"Greensburg, PA",,,
329,GRN,"Greenville - Bus Stop, NC",,,
330,GRV,"Greenville, SC",,,
331,GWD,"Greenwood, MS",,,
332,GMS,"Grimsby, ON",,,
333,GVH,"Grove Hill - Bus Stop, AL",,,
334,GVB,"Grover Beach, CA",,,
335,GUA,"Guadalupe-Santa Maria, CA",,,
336,GUG,"Gulfport - Bus Stop, MS",,,
337,GNW,"Gunnison - Western State University Bus Stop, CO",,,
338,GUN,"Gunnison - Downtown Bus Stop, CO",,,
339,HAG,"Hagerstown - Bus Stop, MD",,,
340,HAM,"Hamlet, NC",,,
341,HMD,"Hammond, LA",,,
342,HMI,"Hammond-Whiting, IN",,,
343,HTN,"Hammonton - NJ Transit Station, NJ",,,
344,HNK,"Hancock - Bus Stop, MD",,,
345,HKM,"Hancock - Bus Stop, MI",,,
346,HNF,"Hanford, CA",,,
347,HFY,"Harpers Ferry, WV",,,
348,HAR,"Harrisburg, PA",,,
349,HFD,"Hartford, CT",,,
350,HAS,"Hastings, NE",,,
351,HCH,"Hatch, NM",,,
352,HBG,"Hattiesburg, MS",,,
353,HBI,"Hattiesburg - Bus Stop, MS",,,
354,HVL,"Havelock - Bus Stop, NC",,,
355,HHL,"Haverhill, MA",,,
356,HAV,"Havre, MT",,,
357,HAY,"Hayward, CA",,,
358,HAZ,"Hazlehurst, MS",,,
359,HEA,"Healdsburg, CA",,,
360,HER,"Helper, UT",,,
361,HET,"Hemet - West side-Coco's, CA",,,
362,HMT,"Hemet, CA",,,
363,HEM,"Hermann, MO",,,
364,HPT,"High Point, NC",,,
365,HKL,"Hinckley - Bus Stop, MN",,,
366,HIN,"Hinton, WV",,,
367,HLD,"Holdrege, NE",,,
368,HOM,"Holland, MI",,,
369,HOL,"Hollywood, FL",,,
370,HLK,"Holyoke, MA",,,
371,HMW,"Homewood, IL",,,
372,HOO,"Hood River - Bus Stop, OR",,,
373,HOP,"Hope, AR",,,
374,HPE,"Hope - Bus Stop, BC",,,
375,HGH,"Houghton - Bus Stop, MI",,,
376,HOG,"Houston - Greyhound Bus Station, TX",,,
377,HOS,"Houston, TX",,,
378,HWC,"Howard City, MI",,,
379,HUD,"Hudson, NY",,,
380,HDS,"Hudson - Bus Stop, WI",,,
381,HGD,"Huntingdon, PA",,,
382,HUN,"Huntington, WV",,,
383,HUT,"Hutchinson, KS",,,
384,IDP,"Independence, MO",,,
385,IND,"Indianapolis, IN",,,
386,IDO,"Indio, CA",,,
387,IRV,"Irvine, CA",,,
388,MET,"Iselin, NJ",,,
389,JAA,"Jackson - Bus Stop, AL",,,
390,JXN,"Jackson, MI",,,
391,JAN,"Jackson, MS",,,
392,JAX,"Jacksonville, FL",,,
393,JNC,"Jacksonville - Bus Station, NC",,,
394,JMN,"Jamestown, NY",,,
395,JVL,"Janesville - Bus Service, WI",,,
396,JEF,"Jefferson City, MO",,,
397,JSP,"Jesup, GA",,,
398,JST,"Johnstown, PA",,,
399,JOL,"Joliet, IL",,,
400,JNL,"June Lake, CA",,,
401,KAL,"Kalamazoo, MI",,,
402,KAM,"Kamloops - Bus Station, BC",,,
403,KKI,"Kankakee, IL",,,
404,KAN,"Kannapolis, NC",,,
405,KCY,"Kansas City, MO",,,
406,KWN,"Kelowna - Bus Station, BC",,,
407,KEL,"Kelso-Longview, WA",,,
408,KTF,"Kettle Falls - Bus Stop, WA",,,
409,KTC,"Kettleman City, CA",,,
410,KEE,"Kewanee, IL",,,
411,KIL,"Killeen, TX",,,
412,KGC,"King City, CA",,,
413,KGG,"Kingman - Greyhound Bus, AZ",,,
414,KNG,"Kingman, AZ",,,
415,KGY,"Kings Canyon National Park - Bus Stop, CA",,,
416,KGS,"Kingsley - Bus Station, MI",,,
417,KIN,"Kingston, RI",,,
418,KTR,"Kingstree, SC",,,
419,KNC,"Kinston - Bus Stop, NC",,,
420,KWD,"Kirkwood, MO",,,
421,KIS,"Kissimmee, FL",,,
422,KFS,"Klamath Falls, OR",,,
423,KEL,"Longview, WA",,,
424,LAN,"L'Anse - Bus Stop, MI",,,
425,LCA,"La Crescenta, CA",,,
